keys,en,de,it,ja,pl,uk,fr
"SIFA_TUTORIAL_1","Hello, today we will learn how the security system ""sifa"" works. To begin, accelerate.","Hallo, heute lernen wir, wie das Sicherheitssystem \""Sifa\"" bedient wird.\nUm zu beginnen, beschleunigen Sie.",,,,,"Bonjour, aujourd'hui nous allons apprendre comment le système de sécurité ""Sifa"" (Sicherheitsfahrschaltung, circuit de conduite sûre) fonctionne. Pour commencer, accélérez."
"SIFA_TUTORIAL_2","You are driving faster than 3 km/h, this activated the system. It expects you to press the Sifa Reset button (%s) at least every 30 seconds. Keep on driving for 30 seconds.","Sie haben die Geschwindigkeit von 3 km/h überschritten. Das Sifa System wurde nun aktiviert. Das System erwartet, dass Sie spätestens alle 30 Sekunden den Sifa Schalter (%s) betätigen. Fahren Sie nun 30 Sekunden lang weiter.",,,,,"Vous circulez à une vitesse supérieure à 3 km/h, cela active le système. Ce dernier demande une pression sur le bouton de remise à zéro du Sifa (%s) au moins toutes les 30 secondes. Continuez à conduire pendant 30 secondes."
"SIFA_TUTORIAL_3","Do you see the ""Sifa"" text that lighted up? It shows you that you need to press the Sifa Reset button. For demonstrations, don't press it, wait some more.","Die 30 Sekunden wurden erreicht. Sehen Sie den leuchtenden \""Sifa\"" Schriftzug? Dieser zeigt ihnen, dass es höchste Zeit wird den Schalter zu drücken. Zu demonstatrionszwecken warten Sie noch ein paar Sekunden ab.",,,,,"Pouvez vous voir le mot ""Sifa"" qui s'est illuminé ? Cela vous informe qu'il faut appuyer sur le bouton de remise à zéro du Sifa. Pour l'exemple ne touchez à rien, et attendez encore."
"SIFA_TUTORIAL_4","Do you hear the warning sound? You have 2,5 seconds left to press the Sifa Reset button. We want to see what happens if you don't press it, so don't.","Hören Sie das Warnsignal? Sie haben noch 2,5 Sekunden um den Schalter zu betätigen! Doch wir wollen sehen was passiert, wenn Sie es nicht tun.",,,,,"Entendez vous le signal sonore ? Il vous reste 2,5 secondes pour presser le bouton de remise à zéro du Sifa. Nous voulons voir ce qui arrive si vous n'agissez pas, donc ne faites rien."
"SIFA_TUTORIAL_5","The Sifa System has initiated an emergency braking, because the Sifa Reset button was not pressed in time. Press the button (%s) now to IMMEDIATELY free yourself from the emergency braking.","Jetzt hat das Sifa System die Zwangsbremsung ausgelöst, da der Sifa Schalter nicht betätigt wurde. Drücken Sie den Schalter (%s) jetzt um sich SOFORT aus der Zwangsbremsung zu befreien.",,,,,"Le système Sifa vient d'activer un freinage d'urgence, car le bouton de remise à zéro n'a pas été actionné dans les temps. Appuyez sur le bouton (%s) maintenant pour vous libérer IMMEDIATEMENT du freinage d'urgence."
"SIFA_TUTORIAL_6","You freed yourself from the emergency braking. This is only possible, if no other emergency system requires emergency braking. Sifa was reset. You have 30 seconds until you need to press the sifa reset button again. Try it now.","Sie haben sich aus der Zwangsbremsung befreit. Beachten Sie, dass dies nur möglich ist, wenn kein anderes Sicherheitssystem eine Zwangsbremsung fordert. Das Sifa System wurde zurückgesetzt. Sie haben erneut 30 Sekunden Zeit den Schalter zu betätigen, probieren Sie es aus!\n\nTipp: Sie müssen die 30 Sekunden nicht abwarten. Das System wird immer zurückgesetzt wenn Sie den Schalter betätigen, egal wie viele Sekudnen verbleiben.",,,,,"Vous vous êtes libéré du freinage d'urgence. Ceci est possible uniquement si aucun autre système d'urgence ne demande un freinage d'urgence. Le Sifa a été remis à zéro. Vous avez 30 secondes jusqu'à ce que vous ayez à nouveau à presser le bouton. Essayez maintenant."
"SIFA_TUTORIAL_7","Congratulations, you finished the sifa tutorial!","Herzlichen Glückwunsch, damit haben Sie die Sifa Einweisung abgeschlossen!",,,,,"Félicitations, vous avez fini le tutoriel sur le Sifa."
,,,,,,,
"PZB_TUTORIAL_1","Hello, today we will learn how to use the safety system PZB. To beginn, drive to the next signal.","Hallo. Heute lernen Sie, wie Sie das Sicherheitssystem PZB verwenden. Um zu beginnen fahren Sie bis zum nächsten Signal.",,,,,"Bonjour, aujourd'hui nous allons apprendre à utiliser le système de sécurité PZB (Punktförmige Zugbeeinflussung, système intermittent de contrôle du train). Pour commencer, roulez jusqu'au prochain signal."
"PZB_TUTORIAL_2","The next signal is yellow. This means you need to acknowledge it with the ""PZB Acknowledge"" button (%s). If you don't do this, the train will emergency brake. After passing the signal, you have 4 seconds to press the button. You can also hold down the button before passing the signal and then let go.\n\nFollowing signals always need to be acknowledged:\n- yellow signals\n- speed limits below 100 km/h","Das nächste Signal steht auf Gelb. Das bedeutet, dass es mit der \""PZB Wachsam\"" Taste (%s) bestätigt werden muss. Geschieht dies nicht, erfolgt eine Zwangsbremsung. Drücken und halten Sie die PZB Wachsam Taste bevor Sie am Signal vorbeifahren, und lassen Sie sie nach dem Signal los. Sie haben 4 Sekunden Zeit die Wachsam Taste zu betätigen, nachdem Sie das Signal überfahren haben.\n\nFolgende Signale müssen immer bestätigt werden:\n- orangene Signale\n- Geschwindigkeitsankündigung (orangene Zahl, bzw. orangenes Schild mit schwarzer Zahl) unter 100 km/h.\n\nGrüne Signale und Geschwindigkeiten über 100 km/h müssen nicht bestätigt werden.",,,,,"Le prochain signal est jaune. Cela signifie que vous devez l'acquitter avec le bouton ""Acquittement PZB"" (%s). Si vous ne le faites pas, le train déclenchera un freinage d'urgence. Après avoir dépassé le signal, vous avez 4 secondes pour appuyer sur le bouton. Vous pouvez aussi garder le bouton enfoncé en franchissant le signal, puis le relâcher.\n\nLe signaux suivants doivent systématiquement être acquittés :\n- signaux jaunes\n- limites de vitesse inférieures à 100 km/h"
